SOC,OCV

0.00, 2.859528772
0.01, 3.008767836
0.02, 3.120213387
0.03, 3.201999995
0.04, 3.260900367
0.05, 3.302499243
0.06, 3.331350795
0.07, 3.351120645
0.08, 3.364713533
0.09, 3.374387675
0.1, 3.381856765
0.11, 3.388380541
0.12, 3.394844806
0.13, 3.40183173
0.14, 3.409681232
0.15, 3.418544208
0.16, 3.428428307
0.17, 3.439236938
0.18, 3.450802163
0.19, 3.462912051
0.2, 3.475333093
0.21, 3.487828195
0.22, 3.500170748
0.23, 3.512155258
0.24, 3.523604955
0.25, 3.534376803
0.26, 3.544364276
0.27, 3.553498249
0.28, 3.561746333
0.29, 3.569110935
0.3, 3.575626316
0.31, 3.581354889
0.32, 3.586382974
0.33, 3.590816209
0.34, 3.594774779
0.35, 3.598388633
0.36, 3.601792805
0.37, 3.605122958
0.38, 3.60851125
0.39, 3.612082593
0.4, 3.615951363
0.41, 3.620218628
0.42, 3.62496989
0.43, 3.630273396
0.44, 3.636179003
0.45, 3.642717587
0.46, 3.649901002
0.47, 3.657722542
0.48, 3.666157884
0.49, 3.675166459
0.5, 3.684693224
0.51, 3.694670749
0.52, 3.705021594
0.53, 3.715660888
0.54, 3.726499055
0.55, 3.737444623
0.56, 3.748407042
0.57, 3.759299441
0.58, 3.770041268
0.59, 3.780560735
0.6, 3.790797015
0.61, 3.800702131
0.62, 3.81024248
0.63, 3.819399949
0.64, 3.828172584
0.65, 3.836574773
0.66, 3.844636922
0.67, 3.852404618
0.68, 3.859937254
0.69, 3.867306155
0.7, 3.874592195
0.71, 3.881882959
0.72, 3.889269491
0.73, 3.896842694
0.74, 3.904689463
0.75, 3.912888646
0.76, 3.921506954
0.77, 3.930594952
0.78, 3.940183288
0.79, 3.950279335
0.8,3.960864455
0.81, 3.971892091
0.82, 3.983286948
0.83, 3.994945529
0.84, 4.006738322
0.85, 4.018513966
0.86, 4.03010575
0.87, 4.041340819
0.88, 4.05205251
0.89, 4.062096247
0.9, 4.071369483
0.91, 4.079836187
0.92, 4.087556414
0.93, 4.094721546
0.94, 4.101695804
0.95, 4.109064679
0.96, 4.117690973
0.97, 4.128779173
0.98, 4.143948914
0.99, 4.165318344
1.00, 4.195598228
